country,gni_per_capita,perc_roads_paved,fixed_lines_per_1000,mobile_hones_per_1000,total_phones_per_1000
afghanistan,,13.3,1,1,2
angola,710,10.4,6,9,15
bangladesh,380,9.5,5,8,13
benin,380,20,9,32,41
bhutan,600,,,,0
burkina_faso,250,16,5,8,13
burundi,100,7.1,3,7,10
cambodia,300,16.2,3,28,31
cape_verde,1250,,,,0
central_african_republic,250,2.7,2,3,5
chad,210,0.8,2,4,6
comoros,390,,,,0
democratic_republic_of_congo,100,,0,11,11
djibouti,850,,,,0
equatorial_guinea,930,,,,0
eritrea,190,21.8,9,0,9
ethiopia,100,12,5,1,6
gambia,270,35.4,28,73,101
guinea,410,16.5,3,12,15
guinea_bissau,130,10.3,9,0,9
haiti,440,24.3,16,17,33
kiribati,960,,,,0
laos,310,44.5,11,10,21
lesotho,550,18.3,13,42,55
liberia,140,6.2,2,1,3
madagascar,230,11.6,4,10,14
malawi,160,18.5,7,8,15
maldives,2170,,,,0
mali,240,12.1,5,5,10
mauritania,280,11.3,12,92,104
mozambique,200,18.7,5,14,19
myanmar,,12.2,7,1,8
nepal,230,30.8,14,1,15
niger,180,7.9,2,1,3
rwanda,230,8.3,3,14,17
samoa,1430,,,,0
sao_tome_and_principe,300,,,,0
senegal,470,29.3,22,55,77
sierra_leone,140,7.9,5,13,18
solomon_islands,580,,,,0
somalia,,11.8,10,3,13
sudan,370,36.3,21,6,27
tanzania,290,4.2,5,19,24
togo,270,31.6,10,35,45
tuvalu,,,,,0
uganda,240,6.7,2,16,18
vanuatu,1070,,,,0
yemen,490,11.5,28,21,49
zambia,340,22,8,13,21
