country,prop_emnes,prop_emnes_excl_nat_res,prop_emnes_excl_former_col_power,zero_mnes,zero_mnes_excl_nat_res,zero_mnes_excl_former_col_power,geographic_proximity,colonial_link,c1_voice_and_acc,c2_pol_stability,c3_gov_effectiveness,c4_reg_quality,c5_rule_of_law,c6_control_of_corruption,gni_per_capita,perc_roads_paved,fixed_lines_per_1000,mobile_hones_per_1000,total_phones_per_1000
samoa,0.3333333333333333,0.3333333333333333,0.3333333333333333,False,False,False,False,False,0.6,,-0.14,-0.7,-0.97,-0.29,1430.0,,,,0
afghanistan,1.0,1.0,1.0,False,False,False,False,False,-1.68,-1.84,,,-1.13,,,13.3,1.0,1.0,2
niger,0.0,0.0,0.0,False,False,False,False,True,-0.99,-0.4,-0.84,-0.47,-0.7,-0.88,180.0,7.9,2.0,1.0,3
uganda,0.4705882352941176,0.5,0.5925925925925926,False,False,False,True,True,-0.61,-0.92,-0.06,0.42,-0.11,-0.62,240.0,6.7,2.0,16.0,18
madagascar,0.0526315789473684,0.0588235294117647,0.125,False,False,False,False,True,0.4,-0.48,-0.44,-0.48,-1.01,-0.8,230.0,11.6,4.0,10.0,14
somalia,,,,True,True,True,False,False,-1.46,-1.88,-2.12,-2.52,-1.8,-1.43,,11.8,10.0,3.0,13
mozambique,0.1666666666666666,0.1666666666666666,0.2,False,False,False,True,True,-0.1,-0.71,-0.18,-0.29,-1.02,-0.77,200.0,18.7,5.0,14.0,19
democratic_republic_of_congo,0.0,0.0,0.0,False,False,False,False,True,-1.67,-2.79,-2.07,-2.78,-1.97,-1.58,100.0,,0.0,11.0,11
benin,0.0,0.0,0.0,False,False,False,False,True,0.61,0.14,-0.18,-0.07,-0.38,-0.76,380.0,20.0,9.0,32.0,41
haiti,0.0,0.0,0.0,False,False,False,False,True,-0.65,-1.52,-1.08,-0.99,-0.99,-0.85,440.0,24.3,16.0,17.0,33
bhutan,,,,True,True,True,False,False,-1.56,0.51,0.27,-0.18,-0.07,0.46,600.0,,,,0
burundi,0.0,0.0,0.0,False,False,False,False,False,-1.59,-1.84,-1.04,-1.27,-0.85,-0.8,100.0,7.1,3.0,7.0,10
comoros,0.0,0.0,,False,False,True,False,True,-0.04,,-1.15,-0.7,-0.97,-0.8,390.0,,,,0
bangladesh,0.125,0.1304347826086956,0.1764705882352941,False,False,False,False,True,-0.17,-0.44,-0.35,-0.08,-0.72,-0.4,380.0,9.5,5.0,8.0,13
