country,year,prop_emnes,prop_emnes_excl_nat_res,prop_emnes_excl_former_col_power,zero_mnes,zero_mnes_excl_nat_res,zero_mnes_excl_former_col_power,geographic_proximity,colonial_link,c1_voice_and_acc,c2_pol_stability,c3_gov_effectiveness,c4_reg_quality,c5_rule_of_law,c6_control_of_corruption,gni_per_capita,perc_roads_paved,fixed_lines_per_1000,mobile_hones_per_1000,total_phones_per_1000
afghanistan,1999,1.0,1.0,1.0,False,False,False,0,0,-1.68,-1.84,,,-1.13,,,13.3,1.0,1.0,2
afghanistan,2001,1.0,1.0,1.0,False,False,False,0,0,-1.76,-2.44,-1.3,-3.57,-2.31,-1.59,,13.3,1.0,1.0,2
angola,1999,0.1363636363636363,0.0588235294117647,0.1578947368421052,False,False,False,0,1,-1.28,-2.04,-1.63,-1.19,-1.45,-1.05,710.0,10.4,6.0,9.0,15
angola,2001,0.12,0.0476190476190476,0.1363636363636363,False,False,False,0,1,-1.37,-2.33,-1.58,-1.96,-1.37,-1.38,710.0,10.4,6.0,9.0,15
bangladesh,1999,0.125,0.1304347826086956,0.1764705882352941,False,False,False,0,1,-0.17,-0.44,-0.35,-0.08,-0.72,-0.4,380.0,9.5,5.0,8.0,13
bangladesh,2001,0.12,0.125,0.1666666666666666,False,False,False,0,1,-0.34,-0.56,-0.45,-0.02,-0.68,-0.64,380.0,9.5,5.0,8.0,13
benin,1999,0.0,0.0,0.0,False,False,False,0,1,0.61,0.14,-0.18,-0.07,-0.38,-0.76,380.0,20.0,9.0,32.0,41
benin,2001,0.0,0.0,0.0,False,False,False,0,1,0.44,0.27,-0.06,0.15,-0.48,-0.22,380.0,20.0,9.0,32.0,41
bhutan,1999,,,,True,True,True,0,0,-1.56,0.51,0.27,-0.18,-0.07,0.46,600.0,,,,0
bhutan,2001,,,,True,True,True,0,0,-1.63,0.6,0.96,-0.39,-0.58,1.33,600.0,,,,0
burkina_faso,1999,0.125,0.125,1.0,False,False,False,0,1,-0.24,-0.1,-0.09,-0.23,-0.42,-0.51,250.0,16.0,5.0,8.0,13
burkina_faso,2001,0.2,0.2,1.0,False,False,False,0,1,-0.31,-0.33,-0.09,-0.04,-0.64,-0.72,250.0,16.0,5.0,8.0,13
